coachID,year,championship,win_ratio,post_win_ratio,COTY,CER,EMA_CER
adamsmi01w,5,0,0.5,0.3333,0,0.25,0.25
adubari99w,1,0,0.625,0.5714,0,0.36,0.36
adubari99w,2,0,0.6562,0.5,0,0.35,0.353
adubari99w,3,0,0.5625,0.5,0,0.32,0.331
adubari99w,4,0,0.4706,0.0,0,0.15,0.21
adubari99w,5,0,0.4375,0.0,0,0.14,0.163
adubari99w,6,0,0.4706,0.0,0,0.15,0.154
adubari99w,7,0,0.5294,0.0,0,0.17,0.165
adubari99w,8,0,0.0,0.0,0,0.0,0.055
aglerbr99w,1,0,0.4688,0.0,0,0.15,0.15
aglerbr99w,2,0,0.375,0.0,0,0.12,0.13
aglerbr99w,3,0,0.3158,0.0,0,0.1,0.11
aglerbr99w,9,0,0.6471,0.3333,0,0.3,0.237
aglerbr99w,10,0,0.5882,0.3333,0,0.28,0.266
allenso99w,1,0,0.6562,0.0,0,0.21,0.21
allenso99w,2,0,0.5,0.0,0,0.16,0.177
bibbyhe01w,6,0,0.4643,0.0,0,0.15,0.15
boguemu01w,6,0,0.3,0.0,0,0.1,0.1
boguemu01w,7,0,0.3235,0.0,0,0.1,0.1
bouceje01w,8,0,0.5588,0.3333,0,0.27,0.27
bouceje01w,9,0,0.5294,0.3333,0,0.26,0.263
bouceje01w,10,0,0.2308,0.0,0,0.07,0.134
brownde01w,3,0,0.5,0.0,0,0.16,0.16
brownde01w,5,0,0.2308,0.0,0,0.07,0.1
bryanjo01w,6,0,0.6667,0.0,0,0.21,0.21
bryanjo01w,7,0,0.7353,0.4,0,0.35,0.303
chancva99w,1,1,0.8438,1.0,0,1.03,1.03
chancva99w,2,0,0.5938,0.0,0,0.19,0.47
chancva99w,3,0,0.75,0.3333,0,0.33,0.377
chancva99w,4,0,0.5882,0.3333,0,0.28,0.312
chancva99w,5,0,0.3824,0.0,0,0.12,0.184
chancva99w,6,0,0.5588,0.4,0,0.29,0.255
chancva99w,7,0,0.5294,0.0,0,0.17,0.198
coopecy01w,2,0,0.4062,0.0,0,0.13,0.13
coopecy01w,3,0,0.6,0.0,0,0.19,0.17
coopemi01w,1,0,0.875,0.5,1,0.74,0.74
coopemi01w,2,1,0.875,0.8571,0,1.0,0.913
coopemi01w,3,1,0.7812,1.0,0,1.01,0.978
coopemi01w,4,0,0.7059,0.5556,0,0.38,0.579
coopemi01w,5,0,0.7,0.0,0,0.22,0.34
coopemi01w,8,0,0.2941,0.0,0,0.09,0.173
coopemi01w,9,0,0.5882,0.5,0,0.33,0.278
