rank,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,playoff_progression_score,next_season_playoff,eFG%,opp_eFG%,Net_eFG%,Off_Rating,Def_Rating,Net_Rating,TO_per_Game,REB_per_Game,Possessions,Pace,TOV%,TS%,AST_TO_Ratio,FTR,OREB%,DREB%,Win%,Home_Win%,Away_Win%,Conf_Win%,Min_per_Game,Avg_Attendance
7,0,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,4,30,34,1,16,3,14,2,18,6825,141379,0,1,44.10983170947741,48.80212954747116,-4.692297837993749,7452.941176470588,8467.64705882353,-1014.7058823529414,17.441176470588236,31.676470588235293,2023.46,59.51352941176471,29.306237830251153,49.16569654637175,0.8296795952782462,0.32108060230292296,28.23920265780731,64.76274165202109,11.76470588235294,5.88235294117647,17.647058823529413,10.0,200.73529411764707,4158.205882352941
8,0,812,1903,431,577,131,386,305,630,935,551,713,222,496,90,2186,879,1930,533,716,138,423,326,664,990,596,596,259,426,123,2429,8,24,32,5,11,3,13,5,16,6475,90963,0,1,46.11140304781923,49.119170984455955,-3.007767936636725,6831.25,7590.625,-759.375,15.5,29.21875,1699.46,53.108125,29.185741353135704,50.67504914506138,1.1108870967741935,0.30320546505517604,31.475748194014447,65.89958158995816,25.0,31.25,18.75,23.809523809523807,202.34375,2842.59375
4,1,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,18,14,32,11,5,7,9,15,6,6500,105525,3,1,46.20786516853933,42.74106175514626,3.466803413393066,6421.875,6278.125,143.75,14.8125,29.625,1583.8,49.49375,29.92802121479985,51.06046752007634,0.9852320675105485,0.2966292134831461,35.273972602739725,65.00508646998982,56.25,68.75,43.75,71.42857142857143,203.125,3297.65625
2,1,770,1790,490,663,211,527,302,653,955,496,647,241,408,105,2241,778,1807,444,598,133,372,295,620,915,489,600,208,424,103,2133,18,14,32,11,5,7,9,12,9,6450,106670,1,1,48.910614525139664,46.73491975650249,2.1756947686371717,7003.125,6665.625,337.5,12.75,29.84375,1556.92,48.65375,26.20558538653238,53.825682608612105,1.2156862745098038,0.370391061452514,32.75488069414317,68.88185654008439,56.25,68.75,43.75,57.14285714285714,201.5625,3333.4375
2,1,787,1881,456,590,187,517,342,629,971,499,697,279,497,115,2217,790,1902,477,667,138,407,386,621,1007,491,606,264,469,104,2195,18,16,34,13,4,5,12,12,12,6850,120061,1,0,46.81020733652312,45.16298633017876,1.6472210063443598,6520.588235294117,6455.882352941177,64.70588235294053,14.617647058823529,28.558823529411764,1662.04,48.883529411764705,29.90301075786383,51.78454638886294,1.0040241448692153,0.3136629452418926,35.51401869158878,61.97044334975369,52.94117647058824,76.47058823529412,29.411764705882355,50.0,201.47058823529412,3531.205882352941
5,0,745,1744,436,590,166,459,256,616,872,426,648,210,479,134,2092,800,1932,438,587,130,349,368,628,996,516,595,243,437,114,2168,16,18,34,10,7,6,11,8,12,6900,116383,0,0,47.477064220183486,44.77225672877847,2.7048074914050133,6152.941176470588,6376.470588235295,-223.5294117647063,14.088235294117647,25.647058823529413,1620.94,47.674705882352946,29.55075450047503,52.20602914753444,0.8893528183716075,0.338302752293578,28.95927601809955,62.601626016260155,47.05882352941176,58.82352941176471,35.294117647058826,40.0,202.94117647058823,3423.029411764706
6,0,772,1913,447,624,104,301,316,609,925,493,727,284,535,113,2095,851,1888,509,713,124,339,355,700,1055,496,654,269,534,146,2335,6,28,34,5,12,1,16,4,16,6945,98054,0,0,43.07370622059592,48.358050847457626,-5.284344626861703,6161.764705882353,6867.647058823529,-705.8823529411757,15.735294117647058,27.205882352941178,1739.14,51.15117647058824,30.76233080718056,47.8844008850043,0.9214953271028037,0.32618923157344487,31.10236220472441,63.17427385892116,17.647058823529413,29.411764705882355,5.88235294117647,20.0,204.26470588235293,2883.9411764705883
7,0,858,2175,449,643,157,536,357,680,1037,509,674,277,527,125,2322,971,2147,545,736,200,536,379,860,1239,623,584,262,535,120,2687,5,29,34,3,14,2,15,4,16,6800,57635,0,0,43.05747126436781,49.88355845365626,-6.826087189288451,6829.411764705883,7902.941176470588,-1073.5294117647054,15.5,30.5,1857.38,54.62882352941177,28.373300024766067,47.23506053899232,0.9658444022770398,0.29563218390804596,29.33442892358258,64.21152030217186,14.705882352941178,17.647058823529413,11.76470588235294,20.0,200.0,1695.1470588235295
6,0,925,2277,489,723,186,544,383,782,1165,597,634,262,510,112,2525,963,2243,501,642,184,481,379,846,1225,584,683,242,566,138,2611,14,20,34,6,11,8,9,6,14,6972,66557,0,0,44.707949055775146,47.03522068658047,-2.3272716308053276,7426.470588235295,7679.411764705883,-252.9411764705883,15.0,34.26470588235294,1903.3,55.97941176470588,26.795565596595388,48.649002743611085,1.1705882352941177,0.31752305665349145,31.163547599674533,67.35572782084411,41.17647058823529,35.294117647058826,47.05882352941176,30.0,205.05882352941177,1957.5588235294117
5,0,899,2100,564,812,110,341,357,770,1127,548,639,269,525,149,2472,917,2203,506,655,170,508,366,794,1160,531,681,255,522,124,2510,12,22,34,8,9,4,13,10,10,6875,62146,0,0,45.42857142857143,45.483431684067185,-0.05486025549575402,7270.588235294117,7382.352941176471,-111.76470588235406,15.441176470588236,33.14705882352941,1854.24,54.5364705882353,28.31348692725861,50.299518166427916,1.0438095238095237,0.38666666666666666,31.016507384882715,67.78169014084507,35.294117647058826,47.05882352941176,23.52941176470588,50.0,202.2058823529412,1827.8235294117646
2,1,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,17,15,32,13,3,4,12,13,8,6500,137532,2,1,48.11269146608315,47.33106189664963,0.7816295694335196,6828.125,6631.25,196.875,16.8125,29.1875,1689.66,52.801875,31.840725353029605,52.55435828362517,1.0018587360594795,0.31181619256017507,35.706580366774546,68.52272727272727,53.125,81.25,25.0,61.904761904761905,203.125,4297.875
1,1,763,1770,372,505,106,335,297,662,959,503,532,267,444,83,2004,664,1745,328,444,132,417,297,594,891,434,597,225,496,127,1788,22,10,32,14,2,8,8,15,6,6425,147373,1,0,46.101694915254235,41.833810888252145,4.26788402700209,6262.5,5587.5,675.0,13.875,29.96875,1511.28,47.2275,29.37906939812609,50.296155004517615,1.132882882882883,0.2853107344632768,33.33333333333333,69.03023983315954,68.75,87.5,50.0,71.42857142857143,200.78125,4605.40625
